Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-04-23 16:00:00-04:00,,,
2025-01-28 16:00:00-05:00,,,
2024-12-06 11:00:00-05:00,,,
2024-10-22 06:00:00-04:00,,,
2024-07-23 06:00:00-04:00,2.93,,
2024-05-29 13:00:00-04:00,,,
2024-05-21 08:00:00-04:00,,,
2024-04-25 16:00:00-04:00,2.82,2.94,0.0433
2024-03-06 18:00:00-05:00,2.78,2.93,0.054000000000000006
2024-01-30 16:00:00-05:00,2.78,2.93,0.0534
2023-10-24 16:00:00-04:00,2.65,2.99,0.127
2023-07-25 16:00:00-04:00,2.55,2.69,0.054900000000000004
2023-04-25 16:00:00-04:00,2.23,2.45,0.0981
2023-01-24 16:00:00-05:00,2.29,2.32,0.010900000000000002
2022-10-25 16:00:00-04:00,2.3,2.35,0.020499999999999997
2022-07-26 16:00:00-04:00,2.29,2.23,-0.027400000000000004
2022-04-26 16:00:00-04:00,2.19,2.22,0.016
2022-01-25 16:00:00-05:00,2.31,2.48,0.0725
2021-10-26 16:00:00-04:00,2.07,2.27,0.0941
2021-07-27 16:00:00-04:00,1.92,2.17,0.1326
2021-04-27 16:00:00-04:00,1.78,1.95,0.09630000000000001
2021-01-26 16:00:00-05:00,1.64,2.03,0.23690000000000003
2020-10-27 16:00:00-04:00,1.54,1.82,0.1791
2020-07-22 16:00:00-04:00,1.34,1.46,0.08720000000000001
2020-04-29 16:00:00-04:00,1.26,1.4,0.107
2020-01-29 16:00:00-05:00,1.32,1.51,0.1449
2019-10-23 16:00:00-04:00,1.25,1.38,0.10830000000000001
2019-07-18 16:00:00-04:00,1.21,1.37,0.1295
2019-04-24 16:00:00-04:00,1.0,1.14,0.14150000000000001
2019-01-30 16:00:00-05:00,1.09,1.1,0.006999999999999999
